PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.295 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=0.391 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=0.185 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=0.154 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=0.308 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=0.200 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=0.223 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.265 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=0.324 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=0.331 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=0.254 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=0.314 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=0.335 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=0.248 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=0.354 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.264 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.252 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=0.254 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=0.955 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=0.207 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=0.328 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=0.501 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=0.241 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=0.263 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=0.207 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=0.281 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=0.198 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=0.335 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=0.215 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=0.315 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=0.369 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=0.303 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=0.205 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=0.331 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=0.335 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=0.356 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=0.322 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=0.247 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=0.285 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=0.172 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=0.284 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=0.256 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=0.330 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=0.394 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=0.385 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.330 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=0.413 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.135 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=0.369 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.235 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.381 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=0.241 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.269 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.330 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.217 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.319 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.283 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=0.345 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.254 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=0.468 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=0.347 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.278 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=0.371 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.262 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.320 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=0.395 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.329 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=0.225 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=0.389 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=0.250 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=0.313 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=0.234 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=0.261 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=0.316 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=0.197 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=0.256 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=0.331 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=0.343 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=0.197 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=0.261 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=0.357 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=0.251 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=0.201 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=0.284 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=0.329 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=0.325 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=0.279 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=0.344 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=0.300 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=0.324 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=0.119 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=0.296 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=0.252 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=0.222 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=0.250 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=0.324 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=0.207 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=0.227 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=0.203 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=0.217 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=0.235 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=0.235 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=0.230 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=0.286 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=0.328 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=0.269 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=0.248 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=0.263 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=0.380 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=0.239 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=0.293 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=0.250 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=0.210 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=0.292 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=0.264 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=0.329 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=0.222 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=0.264 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=0.279 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=0.394 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=0.400 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=0.218 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=0.437 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=0.330 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=0.244 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=0.262 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=0.388 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=0.266 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=0.233 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=0.270 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=0.397 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=0.268 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=0.322 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=0.230 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=0.328 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=0.259 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=0.328 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=0.250 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=0.240 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=0.383 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=0.206 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=0.190 ms

--- 10.0.0.2 ping statistics ---
200 packets transmitted, 200 received, 0% packet loss, time 198998ms
rtt min/avg/max/mdev = 0.119/0.301/0.955/0.084 ms
